partition,lemma,feature,unimorph_features,form,source_rows
train,flare,participle,V;V.PTCP;PRS,flaring,176343
train,flare,third_person,V;PRS;3;SG,flares,176342
train,lustrate,past,V;PST,lustrated,201921
train,lustrate,participle,V;V.PTCP;PRS,lustrating,201920
train,lustrate,third_person,V;PRS;3;SG,lustrates,201919
train,wangle,past,V;PST,wangled,170646
train,wangle,participle,V;V.PTCP;PRS,wangling,170645
train,wangle,third_person,V;PRS;3;SG,wangles,170644
train,excave,past,V;PST,excaved,97480
train,excave,participle,V;V.PTCP;PRS,excaving,97479
train,excave,third_person,V;PRS;3;SG,excaves,97478
train,stockade,past,V;PST,stockaded,144287
train,stockade,participle,V;V.PTCP;PRS,stockading,144286
train,stockade,third_person,V;PRS;3;SG,stockades,144285
train,reblog,past,V;PST,reblogged,70853
train,reblog,participle,V;V.PTCP;PRS,reblogging,70852
train,reblog,third_person,V;PRS;3;SG,reblogs,70851
train,scruple,past,V;PST,scrupled,30787
train,scruple,participle,V;V.PTCP;PRS,scrupling,30786
train,scruple,third_person,V;PRS;3;SG,scruples,30785
train,probate,past,V;PST,probated,209161
train,probate,participle,V;V.PTCP;PRS,probating,209160
train,probate,third_person,V;PRS;3;SG,probates,209159
train,pun,past,V;PST,punned,40591
train,pun,participle,V;V.PTCP;PRS,punning,40590
train,pun,third_person,V;PRS;3;SG,puns,40589
train,perpend,past,V;PST,perpended,199878
train,perpend,participle,V;V.PTCP;PRS,perpending,199877
train,perpend,third_person,V;PRS;3;SG,perpends,199876
train,ref,past,V;PST,reffed,184415
train,ref,participle,V;V.PTCP;PRS,reffing,184414
train,ref,third_person,V;PRS;3;SG,refs,184413
train,injure,past,V;PST,injured,208572
train,injure,participle,V;V.PTCP;PRS,injuring,208571
train,injure,third_person,V;PRS;3;SG,injures,208570
train,kithe,past,V;PST,kithed,175399
train,kithe,participle,V;V.PTCP;PRS,kithing,175398
train,kithe,third_person,V;PRS;3;SG,kithes,175397
train,whinge,past,V;PST,whinged,191353
train,whinge,participle,V;V.PTCP;PRS,whingeing,191352
train,whinge,third_person,V;PRS;3;SG,whinges,191351
train,icefish,past,V;PST,icefished,126223
train,icefish,participle,V;V.PTCP;PRS,icefishing,126222
train,icefish,third_person,V;PRS;3;SG,icefishes,126221
train,borrowe,past,V;PST,borrowed,147736
train,borrowe,participle,V;V.PTCP;PRS,borrowing,147735
train,borrowe,third_person,V;PRS;3;SG,borrowes,147734
train,interbed,past,V;PST,interbedded,188152
train,interbed,participle,V;V.PTCP;PRS,interbedding,188151
train,interbed,third_person,V;PRS;3;SG,interbeds,188150
train,habble,past,V;PST,habbled,44646
train,habble,participle,V;V.PTCP;PRS,habbling,44645
train,habble,third_person,V;PRS;3;SG,habbles,44644
train,empayre,past,V;PST,empayred,151355
train,empayre,participle,V;V.PTCP;PRS,empayring,151354
train,empayre,third_person,V;PRS;3;SG,empayres,151353
train,smock,past,V;PST,smocked,179586
train,smock,participle,V;V.PTCP;PRS,smocking,179585
train,smock,third_person,V;PRS;3;SG,smocks,179584
train,besow,past,V;PST,besowed,207182
train,besow,participle,V;V.PTCP;PRS,besowing,207181
train,besow,third_person,V;PRS;3;SG,besows,207180
train,initiate,past,V;PST,initiated,67609
train,initiate,participle,V;V.PTCP;PRS,initiating,67608
train,initiate,third_person,V;PRS;3;SG,initiates,67607
train,agrise,past,V;PST,agrised,165119
train,agrise,participle,V;V.PTCP;PRS,agrising,165118
train,agrise,third_person,V;PRS;3;SG,agrises,165117
train,vernate,past,V;PST,vernated,200367
train,vernate,participle,V;V.PTCP;PRS,vernating,200366
train,vernate,third_person,V;PRS;3;SG,vernates,200365
train,pixelate,past,V;PST,pixelated,62073
train,pixelate,participle,V;V.PTCP;PRS,pixelating,62072
train,pixelate,third_person,V;PRS;3;SG,pixelates,62071
train,denuke,past,V;PST,denuked,33922
train,denuke,participle,V;V.PTCP;PRS,denuking,33921
train,denuke,third_person,V;PRS;3;SG,denukes,33920
train,jury,past,V;PST,juried,211616
train,jury,participle,V;V.PTCP;PRS,jurying,211615
train,jury,third_person,V;PRS;3;SG,juries,211614
train,mediate,past,V;PST,mediated,63912
train,mediate,participle,V;V.PTCP;PRS,mediating,63911
train,mediate,third_person,V;PRS;3;SG,mediates,63910
train,sleaze,past,V;PST,sleazed,165165
train,sleaze,participle,V;V.PTCP;PRS,sleazing,165164
train,sleaze,third_person,V;PRS;3;SG,sleazes,165163
train,bestick,past,V;PST,bestuck,109212
train,bestick,participle,V;V.PTCP;PRS,besticking,109211
train,bestick,third_person,V;PRS;3;SG,besticks,109210
train,regulise,past,V;PST,regulised,80970
train,regulise,participle,V;V.PTCP;PRS,regulising,80969
train,regulise,third_person,V;PRS;3;SG,regulises,80968
train,halloo,past,V;PST,hallooed,213120
train,halloo,participle,V;V.PTCP;PRS,hallooing,213119
train,halloo,third_person,V;PRS;3;SG,halloos,213118
train,unsew,past,V;PST,unsewed,106455
train,unsew,participle,V;V.PTCP;PRS,unsewing,106454
train,unsew,third_person,V;PRS;3;SG,unsews,106453
train,lighter,past,V;PST,lightered,13525
train,lighter,participle,V;V.PTCP;PRS,lightering,13524
train,lighter,third_person,V;PRS;3;SG,lighters,13523
train,caveat,past,V;PST,caveated,91;222
train,caveat,participle,V;V.PTCP;PRS,caveating,90;221
train,caveat,third_person,V;PRS;3;SG,caveats,89;220
train,gash,past,V;PST,gashed,10899
train,gash,participle,V;V.PTCP;PRS,gashing,10898
train,gash,third_person,V;PRS;3;SG,gashes,10897
train,flipple,past,V;PST,flippled,9073
train,flipple,participle,V;V.PTCP;PRS,flippling,9072
train,flipple,third_person,V;PRS;3;SG,flipples,9071
train,speedy,past,V;PST,speedied,95376
train,speedy,participle,V;V.PTCP;PRS,speedying,95375
train,speedy,third_person,V;PRS;3;SG,speedies,95374
train,overpay,past,V;PST,overpaid,137775
train,overpay,participle,V;V.PTCP;PRS,overpaying,137774
train,overpay,third_person,V;PRS;3;SG,overpays,137773
train,book,past,V;PST,booked,187223
train,book,participle,V;V.PTCP;PRS,booking,187222
train,book,third_person,V;PRS;3;SG,books,187221
train,rearrive,past,V;PST,rearrived,32741
train,rearrive,participle,V;V.PTCP;PRS,rearriving,32740
train,rearrive,third_person,V;PRS;3;SG,rearrives,32739
train,wimple,past,V;PST,wimpled,108597
train,wimple,participle,V;V.PTCP;PRS,wimpling,108596
train,wimple,third_person,V;PRS;3;SG,wimples,108595
train,rapine,past,V;PST,rapined,207514
train,rapine,participle,V;V.PTCP;PRS,rapining,207513
train,rapine,third_person,V;PRS;3;SG,rapines,207512
train,commote,past,V;PST,commoted,116043
train,commote,participle,V;V.PTCP;PRS,commoting,116042
train,commote,third_person,V;PRS;3;SG,commotes,116041
train,huxter,past,V;PST,huxtered,82527
train,huxter,participle,V;V.PTCP;PRS,huxtering,82526
train,huxter,third_person,V;PRS;3;SG,huxters,82525
train,bearhug,past,V;PST,bearhugged,49041
train,bearhug,participle,V;V.PTCP;PRS,bearhugging,49040
train,bearhug,third_person,V;PRS;3;SG,bearhugs,49039
train,unscale,past,V;PST,unscaled,206955
train,unscale,participle,V;V.PTCP;PRS,unscaling,206954
train,unscale,third_person,V;PRS;3;SG,unscales,206953
train,ridge,past,V;PST,ridged,101416
train,ridge,participle,V;V.PTCP;PRS,ridging,101415
train,ridge,third_person,V;PRS;3;SG,ridges,101414
train,unmasque,past,V;PST,unmasqued,85791
train,unmasque,participle,V;V.PTCP;PRS,unmasquing,85790
train,unmasque,third_person,V;PRS;3;SG,unmasques,85789
train,atspring,past,V;PST,atsprang,180629
train,atspring,participle,V;V.PTCP;PRS,atspringing,180628
train,atspring,third_person,V;PRS;3;SG,atsprings,180627
train,inroad,past,V;PST,inroaded,100136
train,inroad,participle,V;V.PTCP;PRS,inroading,100135
train,inroad,third_person,V;PRS;3;SG,inroads,100134
train,sissify,past,V;PST,sissified,4277
train,sissify,participle,V;V.PTCP;PRS,sissifying,4276
train,sissify,third_person,V;PRS;3;SG,sissifies,4275
train,enrobe,past,V;PST,enrobed,112237
train,enrobe,participle,V;V.PTCP;PRS,enrobing,112236
train,enrobe,third_person,V;PRS;3;SG,enrobes,112235
train,chirpse,past,V;PST,chirpsed,120041
train,chirpse,participle,V;V.PTCP;PRS,chirpsing,120040
train,chirpse,third_person,V;PRS;3;SG,chirpses,120039
train,nuss,past,V;PST,nussed,84666
train,nuss,participle,V;V.PTCP;PRS,nussing,84665
train,nuss,third_person,V;PRS;3;SG,nusses,84664
train,bespin,past,V;PST,bespun,96454
train,bespin,participle,V;V.PTCP;PRS,bespinning,96453
train,bespin,third_person,V;PRS;3;SG,bespins,96452
train,decypher,past,V;PST,decyphered,39757
train,decypher,participle,V;V.PTCP;PRS,decyphering,39756
train,decypher,third_person,V;PRS;3;SG,decyphers,39755
train,lignify,past,V;PST,lignified,128205
train,lignify,participle,V;V.PTCP;PRS,lignifying,128204
train,lignify,third_person,V;PRS;3;SG,lignifies,128203
train,sken,past,V;PST,skenned,143481
train,sken,participle,V;V.PTCP;PRS,skenning,143480
train,sken,third_person,V;PRS;3;SG,skens,143479
train,welt,past,V;PST,welted,103425
train,welt,participle,V;V.PTCP;PRS,welting,103424
train,welt,third_person,V;PRS;3;SG,welts,103423
train,rot,past,V;PST,rotted,189214
train,rot,participle,V;V.PTCP;PRS,rotting,189213
train,rot,third_person,V;PRS;3;SG,rots,189212
train,distaste,past,V;PST,distasted,20712
train,distaste,participle,V;V.PTCP;PRS,distasting,20711
train,distaste,third_person,V;PRS;3;SG,distastes,20710
train,borry,past,V;PST,borried,139108
train,borry,participle,V;V.PTCP;PRS,borrying,139107
train,borry,third_person,V;PRS;3;SG,borries,139106
train,resplice,past,V;PST,respliced,138741
train,resplice,participle,V;V.PTCP;PRS,resplicing,138740
train,resplice,third_person,V;PRS;3;SG,resplices,138739
train,titer,past,V;PST,titered,47502
train,titer,participle,V;V.PTCP;PRS,titering,47501
train,titer,third_person,V;PRS;3;SG,titers,47500
train,outflow,past,V;PST,outflowed,203086
train,outflow,participle,V;V.PTCP;PRS,outflowing,203085
train,outflow,third_person,V;PRS;3;SG,outflows,203084
train,freeball,past,V;PST,freeballed,117354
train,freeball,participle,V;V.PTCP;PRS,freeballing,117353
train,freeball,third_person,V;PRS;3;SG,freeballs,117352
train,reek,past,V;PST,reeked,197707
train,reek,participle,V;V.PTCP;PRS,reeking,197706
train,reek,third_person,V;PRS;3;SG,reeks,197705
train,rebias,past,V;PST,rebiased,60084
train,rebias,participle,V;V.PTCP;PRS,rebiasing,60083
train,rebias,third_person,V;PRS;3;SG,rebiases,60082
train,rebush,past,V;PST,rebushed,18884
train,rebush,participle,V;V.PTCP;PRS,rebushing,18883
train,rebush,third_person,V;PRS;3;SG,rebushes,18882
train,denize,past,V;PST,denized,1624
train,denize,participle,V;V.PTCP;PRS,denizing,1623
train,denize,third_person,V;PRS;3;SG,denizes,1622
train,gang,past,V;PST,ganged,149604
train,gang,participle,V;V.PTCP;PRS,ganging,149603
train,gang,third_person,V;PRS;3;SG,gangs,149602
train,coalify,past,V;PST,coalified,203896
train,coalify,participle,V;V.PTCP;PRS,coalifying,203895
train,coalify,third_person,V;PRS;3;SG,coalifies,203894
train,foist,past,V;PST,foisted,135285
train,foist,participle,V;V.PTCP;PRS,foisting,135284
train,foist,third_person,V;PRS;3;SG,foists,135283
train,shyster,past,V;PST,shystered,9765
train,shyster,participle,V;V.PTCP;PRS,shystering,9764
train,shyster,third_person,V;PRS;3;SG,shysters,9763
train,outbrake,past,V;PST,outbraked,80028
train,outbrake,participle,V;V.PTCP;PRS,outbraking,80027
train,outbrake,third_person,V;PRS;3;SG,outbrakes,80026
train,slink,past,V;PST,slunk,202926
train,slink,participle,V;V.PTCP;PRS,slinking,202925
train,slink,third_person,V;PRS;3;SG,slinks,202924
train,bare,past,V;PST,bared,66430
train,bare,participle,V;V.PTCP;PRS,baring,66429
train,bare,third_person,V;PRS;3;SG,bares,66428
train,excuss,past,V;PST,excussed,87417
train,excuss,participle,V;V.PTCP;PRS,excussing,87416
train,excuss,third_person,V;PRS;3;SG,excusses,87415
train,orphan,past,V;PST,orphaned,81184
train,orphan,participle,V;V.PTCP;PRS,orphaning,81183
train,orphan,third_person,V;PRS;3;SG,orphans,81182
train,recircle,past,V;PST,recircled,100540
train,recircle,participle,V;V.PTCP;PRS,recircling,100539
train,recircle,third_person,V;PRS;3;SG,recircles,100538
train,airship,past,V;PST,airshipped,158187
train,airship,participle,V;V.PTCP;PRS,airshipping,158186
train,airship,third_person,V;PRS;3;SG,airships,158185
train,drive,past,V;PST,drove,182809
train,drive,participle,V;V.PTCP;PRS,driving,182808
train,drive,third_person,V;PRS;3;SG,drives,182807
train,reswell,past,V;PST,reswelled,80673
train,reswell,participle,V;V.PTCP;PRS,reswelling,80672
train,reswell,third_person,V;PRS;3;SG,reswells,80671
train,crudle,past,V;PST,crudled,22136
train,crudle,participle,V;V.PTCP;PRS,crudling,22135
train,crudle,third_person,V;PRS;3;SG,crudles,22134
train,trek,past,V;PST,trekked,41422
train,trek,participle,V;V.PTCP;PRS,trekking,41421
train,trek,third_person,V;PRS;3;SG,treks,41420
train,scove,past,V;PST,scoved,183732
train,scove,participle,V;V.PTCP;PRS,scoving,183731
train,scove,third_person,V;PRS;3;SG,scoves,183730
train,detwin,past,V;PST,detwinned,47297
train,detwin,participle,V;V.PTCP;PRS,detwinning,47296
train,detwin,third_person,V;PRS;3;SG,detwins,47295
train,nuncle,past,V;PST,nuncled,164149
train,nuncle,participle,V;V.PTCP;PRS,nuncling,164148
train,nuncle,third_person,V;PRS;3;SG,nuncles,164147
train,inrage,past,V;PST,inraged,8959
train,inrage,participle,V;V.PTCP;PRS,inraging,8958
train,inrage,third_person,V;PRS;3;SG,inrages,8957
train,shammy,past,V;PST,shammied,108750
train,shammy,participle,V;V.PTCP;PRS,shammying,108749
train,shammy,third_person,V;PRS;3;SG,shammies,108748
train,finch,past,V;PST,finched,214513
train,finch,participle,V;V.PTCP;PRS,finching,214512
train,finch,third_person,V;PRS;3;SG,finches,214511
train,mound,past,V;PST,mounded,174329
train,mound,participle,V;V.PTCP;PRS,mounding,174328
train,mound,third_person,V;PRS;3;SG,mounds,174327
train,keelhale,past,V;PST,keelhaled,68817
train,keelhale,participle,V;V.PTCP;PRS,keelhaling,68816
train,keelhale,third_person,V;PRS;3;SG,keelhales,68815
train,horse,past,V;PST,horsed,174696
train,horse,participle,V;V.PTCP;PRS,horsing,174695
train,horse,third_person,V;PRS;3;SG,horses,174694
train,scrub,past,V;PST,scrubbed,128617
train,scrub,participle,V;V.PTCP;PRS,scrubbing,128616
train,scrub,third_person,V;PRS;3;SG,scrubs,128615
train,plink,past,V;PST,plinked,56089
train,plink,participle,V;V.PTCP;PRS,plinking,56088
train,plink,third_person,V;PRS;3;SG,plinks,56087
train,crumple,past,V;PST,crumpled,39096
train,crumple,participle,V;V.PTCP;PRS,crumpling,39095
train,crumple,third_person,V;PRS;3;SG,crumples,39094
train,prebuild,past,V;PST,prebuilt,215354
train,prebuild,participle,V;V.PTCP;PRS,prebuilding,215353
train,prebuild,third_person,V;PRS;3;SG,prebuilds,215352
train,concrete,past,V;PST,concreted,22793
train,concrete,participle,V;V.PTCP;PRS,concreting,22792
train,concrete,third_person,V;PRS;3;SG,concretes,22791
train,phrase,past,V;PST,phrased,63777
train,phrase,participle,V;V.PTCP;PRS,phrasing,63776
train,phrase,third_person,V;PRS;3;SG,phrases,63775
train,slur,past,V;PST,slurred,195994
train,slur,participle,V;V.PTCP;PRS,slurring,195993
train,slur,third_person,V;PRS;3;SG,slurs,195992
train,redoubt,past,V;PST,redoubted,8314
train,redoubt,participle,V;V.PTCP;PRS,redoubting,8313
train,redoubt,third_person,V;PRS;3;SG,redoubts,8312
train,regulize,past,V;PST,regulized,129558
train,regulize,participle,V;V.PTCP;PRS,regulizing,129557
train,regulize,third_person,V;PRS;3;SG,regulizes,129556
train,redelete,past,V;PST,redeleted,181566
train,redelete,participle,V;V.PTCP;PRS,redeleting,181565
train,redelete,third_person,V;PRS;3;SG,redeletes,181564
train,unpatch,past,V;PST,unpatched,174317
train,unpatch,participle,V;V.PTCP;PRS,unpatching,174316
train,unpatch,third_person,V;PRS;3;SG,unpatches,174315
train,jabber,past,V;PST,jabbered,178813
train,jabber,participle,V;V.PTCP;PRS,jabbering,178812
train,jabber,third_person,V;PRS;3;SG,jabbers,178811
train,mock,past,V;PST,mocked,89436
train,mock,participle,V;V.PTCP;PRS,mocking,89435
train,mock,third_person,V;PRS;3;SG,mocks,89434
train,chink,past,V;PST,chinked,208882
train,chink,participle,V;V.PTCP;PRS,chinking,208881
train,chink,third_person,V;PRS;3;SG,chinks,208880
train,splotch,past,V;PST,splotched,19917
train,splotch,participle,V;V.PTCP;PRS,splotching,19916
train,splotch,third_person,V;PRS;3;SG,splotches,19915
train,twine,past,V;PST,twined,19989
train,twine,participle,V;V.PTCP;PRS,twining,19988
train,twine,third_person,V;PRS;3;SG,twines,19987
train,tension,past,V;PST,tensioned,96801
train,tension,participle,V;V.PTCP;PRS,tensioning,96800
train,tension,third_person,V;PRS;3;SG,tensions,96799
train,outrush,past,V;PST,outrushed,44755
train,outrush,participle,V;V.PTCP;PRS,outrushing,44754
train,outrush,third_person,V;PRS;3;SG,outrushes,44753
train,crump,past,V;PST,crumped,3401
train,crump,participle,V;V.PTCP;PRS,crumping,3400
train,crump,third_person,V;PRS;3;SG,crumps,3399
train,overtrim,past,V;PST,overtrimmed,178991
train,overtrim,participle,V;V.PTCP;PRS,overtrimming,178990
train,overtrim,third_person,V;PRS;3;SG,overtrims,178989
train,dabble,past,V;PST,dabbled,118921
train,dabble,participle,V;V.PTCP;PRS,dabbling,118920
train,dabble,third_person,V;PRS;3;SG,dabbles,118919
train,nommus,past,V;PST,nommused,46220
train,nommus,participle,V;V.PTCP;PRS,nommusing,46219
train,nommus,third_person,V;PRS;3;SG,nommuses,46218
train,begeck,past,V;PST,begecked,121565
train,begeck,participle,V;V.PTCP;PRS,begecking,121564
train,begeck,third_person,V;PRS;3;SG,begecks,121563
train,xpost,past,V;PST,xposted,60297
train,xpost,participle,V;V.PTCP;PRS,xposting,60296
train,xpost,third_person,V;PRS;3;SG,xposts,60295
train,cognosce,past,V;PST,cognosced,19624
train,cognosce,participle,V;V.PTCP;PRS,cognoscing,19623
train,cognosce,third_person,V;PRS;3;SG,cognosces,19622
train,repel,past,V;PST,repelled,101767
train,repel,participle,V;V.PTCP;PRS,repelling,101766
train,repel,third_person,V;PRS;3;SG,repels,101765
train,spree,past,V;PST,spreed,186082
train,spree,participle,V;V.PTCP;PRS,spreeing,186081
train,spree,third_person,V;PRS;3;SG,sprees,186080
train,splinter,past,V;PST,splintered,122973
train,splinter,participle,V;V.PTCP;PRS,splintering,122972
train,splinter,third_person,V;PRS;3;SG,splinters,122971
train,enemy,past,V;PST,enemied,142608
train,enemy,participle,V;V.PTCP;PRS,enemying,142607
train,enemy,third_person,V;PRS;3;SG,enemies,142606
train,wise,past,V;PST,wised,104055
train,wise,participle,V;V.PTCP;PRS,wising,104054
train,wise,third_person,V;PRS;3;SG,wises,104053
train,verb,past,V;PST,verbed,185881
train,verb,participle,V;V.PTCP;PRS,verbing,185880
train,verb,third_person,V;PRS;3;SG,verbs,185879
train,ripple,past,V;PST,rippled,82917
train,ripple,participle,V;V.PTCP;PRS,rippling,82916
train,ripple,third_person,V;PRS;3;SG,ripples,82915
train,fissle,past,V;PST,fissled,207610
train,fissle,participle,V;V.PTCP;PRS,fissling,207609
train,fissle,third_person,V;PRS;3;SG,fissles,207608
train,dade,past,V;PST,daded,168997
train,dade,participle,V;V.PTCP;PRS,dading,168996
train,dade,third_person,V;PRS;3;SG,dades,168995
train,beknave,past,V;PST,beknaved,32481
train,beknave,participle,V;V.PTCP;PRS,beknaving,32480
train,beknave,third_person,V;PRS;3;SG,beknaves,32479
train,depurate,past,V;PST,depurated,202991
train,depurate,participle,V;V.PTCP;PRS,depurating,202990
train,depurate,third_person,V;PRS;3;SG,depurates,202989
train,king,past,V;PST,kinged,191675
train,king,participle,V;V.PTCP;PRS,kinging,191674
train,king,third_person,V;PRS;3;SG,kings,191673
train,topcoat,past,V;PST,topcoated,102754
train,topcoat,participle,V;V.PTCP;PRS,topcoating,102753
train,topcoat,third_person,V;PRS;3;SG,topcoats,102752
train,strumpet,past,V;PST,strumpeted,13586
train,strumpet,participle,V;V.PTCP;PRS,strumpeting,13585
train,strumpet,third_person,V;PRS;3;SG,strumpets,13584
train,expense,past,V;PST,expensed,6630
train,expense,participle,V;V.PTCP;PRS,expensing,6629
train,expense,third_person,V;PRS;3;SG,expenses,6628
train,autotype,past,V;PST,autotyped,194106
train,autotype,participle,V;V.PTCP;PRS,autotyping,194105
train,autotype,third_person,V;PRS;3;SG,autotypes,194104
train,review,past,V;PST,reviewed,216613
train,review,participle,V;V.PTCP;PRS,reviewing,216612
train,review,third_person,V;PRS;3;SG,reviews,216611
train,gimble,past,V;PST,gimbled,213902
train,gimble,participle,V;V.PTCP;PRS,gimbling,213901
train,gimble,third_person,V;PRS;3;SG,gimbles,213900
train,unsend,past,V;PST,unsent,210234
train,unsend,participle,V;V.PTCP;PRS,unsending,210233
train,unsend,third_person,V;PRS;3;SG,unsends,210232
train,dropkick,past,V;PST,dropkicked,124472
train,dropkick,participle,V;V.PTCP;PRS,dropkicking,124471
train,dropkick,third_person,V;PRS;3;SG,dropkicks,124470
train,lamp,past,V;PST,lamped,39656
train,lamp,participle,V;V.PTCP;PRS,lamping,39655
train,lamp,third_person,V;PRS;3;SG,lamps,39654
train,pester,past,V;PST,pestered,70581
train,pester,participle,V;V.PTCP;PRS,pestering,70580
train,pester,third_person,V;PRS;3;SG,pesters,70579
train,outsell,past,V;PST,outsold,215587
train,outsell,participle,V;V.PTCP;PRS,outselling,215586
train,outsell,third_person,V;PRS;3;SG,outsells,215585
train,hockle,past,V;PST,hockled,103464
train,hockle,participle,V;V.PTCP;PRS,hockling,103463
train,hockle,third_person,V;PRS;3;SG,hockles,103462
train,stave,past,V;PST,staved,67764
train,stave,participle,V;V.PTCP;PRS,staving,67763
train,stave,third_person,V;PRS;3;SG,staves,67762
train,cavitate,past,V;PST,cavitated,126399
train,cavitate,participle,V;V.PTCP;PRS,cavitating,126398
train,cavitate,third_person,V;PRS;3;SG,cavitates,126397
train,secede,past,V;PST,seceded,110469
train,secede,participle,V;V.PTCP;PRS,seceding,110468
train,secede,third_person,V;PRS;3;SG,secedes,110467
train,extubate,past,V;PST,extubated,68126
train,extubate,participle,V;V.PTCP;PRS,extubating,68125
train,extubate,third_person,V;PRS;3;SG,extubates,68124
train,outpeep,past,V;PST,outpeeped,210901
train,outpeep,participle,V;V.PTCP;PRS,outpeeping,210900
train,outpeep,third_person,V;PRS;3;SG,outpeeps,210899
train,encrease,past,V;PST,encreased,208530
train,encrease,participle,V;V.PTCP;PRS,encreasing,208529
train,encrease,third_person,V;PRS;3;SG,encreases,208528
train,tritiate,past,V;PST,tritiated,85075
train,tritiate,participle,V;V.PTCP;PRS,tritiating,85074
train,tritiate,third_person,V;PRS;3;SG,tritiates,85073
train,squonk,past,V;PST,squonked,59612
train,squonk,participle,V;V.PTCP;PRS,squonking,59611
train,squonk,third_person,V;PRS;3;SG,squonks,59610
train,waw,past,V;PST,wawed,96672
train,waw,participle,V;V.PTCP;PRS,wawing,96671
train,waw,third_person,V;PRS;3;SG,waws,96670
train,loathe,past,V;PST,loathed,180333
train,loathe,participle,V;V.PTCP;PRS,loathing,180332
train,loathe,third_person,V;PRS;3;SG,loathes,180331
train,outflush,past,V;PST,outflushed,5035
train,outflush,participle,V;V.PTCP;PRS,outflushing,5034
train,outflush,third_person,V;PRS;3;SG,outflushes,5033
train,alligate,past,V;PST,alligated,133617
train,alligate,participle,V;V.PTCP;PRS,alligating,133616
train,alligate,third_person,V;PRS;3;SG,alligates,133615
train,overpass,past,V;PST,overpassed,4093
train,overpass,participle,V;V.PTCP;PRS,overpassing,4092
train,overpass,third_person,V;PRS;3;SG,overpasses,4091
train,umbrate,past,V;PST,umbrated,54248
train,umbrate,participle,V;V.PTCP;PRS,umbrating,54247
train,umbrate,third_person,V;PRS;3;SG,umbrates,54246
train,keen,past,V;PST,keened,132703
train,keen,participle,V;V.PTCP;PRS,keening,132702
train,keen,third_person,V;PRS;3;SG,keens,132701
train,tirl,past,V;PST,tirled,210945
train,tirl,participle,V;V.PTCP;PRS,tirling,210944
train,tirl,third_person,V;PRS;3;SG,tirls,210943
train,ghillie,past,V;PST,ghillied,49611
train,ghillie,participle,V;V.PTCP;PRS,ghillying,49610
train,ghillie,third_person,V;PRS;3;SG,ghillies,49609
train,refry,past,V;PST,refried,190869
train,refry,participle,V;V.PTCP;PRS,refrying,190868
train,refry,third_person,V;PRS;3;SG,refries,190867
train,fibrose,past,V;PST,fibrosed,137250
train,fibrose,participle,V;V.PTCP;PRS,fibrosing,137249
train,fibrose,third_person,V;PRS;3;SG,fibroses,137248
train,grotch,past,V;PST,grotched,2002
train,grotch,participle,V;V.PTCP;PRS,grotching,2001
train,grotch,third_person,V;PRS;3;SG,grotches,2000
train,boing,past,V;PST,boinged,102050
train,boing,participle,V;V.PTCP;PRS,boinging,102049
train,boing,third_person,V;PRS;3;SG,boings,102048
train,peruse,past,V;PST,perused,198463
train,peruse,participle,V;V.PTCP;PRS,perusing,198462
train,peruse,third_person,V;PRS;3;SG,peruses,198461
train,spang,past,V;PST,spanged,155164
train,spang,participle,V;V.PTCP;PRS,spanging,155163
train,spang,third_person,V;PRS;3;SG,spangs,155162
train,precum,past,V;PST,precame,174587
train,precum,participle,V;V.PTCP;PRS,precumming,174586
train,precum,third_person,V;PRS;3;SG,precums,174585
train,propulse,past,V;PST,propulsed,60669
train,propulse,participle,V;V.PTCP;PRS,propulsing,60668
train,propulse,third_person,V;PRS;3;SG,propulses,60667
train,worke,past,V;PST,worked,83231
train,worke,participle,V;V.PTCP;PRS,working,83230
train,worke,third_person,V;PRS;3;SG,workes,83229
train,premiss,past,V;PST,premissed,174123
train,premiss,participle,V;V.PTCP;PRS,premissing,174122
train,premiss,third_person,V;PRS;3;SG,premisses,174121
train,resalute,past,V;PST,resaluted,9966
train,resalute,participle,V;V.PTCP;PRS,resaluting,9965
train,resalute,third_person,V;PRS;3;SG,resalutes,9964
train,mislie,past,V;PST,mislay,19934
train,mislie,participle,V;V.PTCP;PRS,mislying,19933
train,mislie,third_person,V;PRS;3;SG,mislies,19932
train,trustee,past,V;PST,trusteed,202085
train,trustee,participle,V;V.PTCP;PRS,trusteeing,202084
train,trustee,third_person,V;PRS;3;SG,trustees,202083
train,neg,past,V;PST,negged,98903
train,neg,participle,V;V.PTCP;PRS,negging,98902
train,neg,third_person,V;PRS;3;SG,negs,98901
train,mewl,past,V;PST,mewled,39592
train,mewl,participle,V;V.PTCP;PRS,mewling,39591
train,mewl,third_person,V;PRS;3;SG,mewls,39590
train,blather,past,V;PST,blathered,99108
train,blather,participle,V;V.PTCP;PRS,blathering,99107
train,blather,third_person,V;PRS;3;SG,blathers,99106
train,shoehorn,past,V;PST,shoehorned,152739
train,shoehorn,participle,V;V.PTCP;PRS,shoehorning,152738
train,shoehorn,third_person,V;PRS;3;SG,shoehorns,152737
train,religate,past,V;PST,religated,96381
train,religate,participle,V;V.PTCP;PRS,religating,96380
train,religate,third_person,V;PRS;3;SG,religates,96379
train,chap,past,V;PST,chapped,209094
train,chap,participle,V;V.PTCP;PRS,chapping,209093
train,chap,third_person,V;PRS;3;SG,chaps,209092
train,slab,past,V;PST,slabbed,88074
train,slab,participle,V;V.PTCP;PRS,slabbing,88073
train,slab,third_person,V;PRS;3;SG,slabs,88072
