direct_adc,abdomen1_adc,abdomen2_adc,abdomen3_adc,abdomen4_adc
-604,43,1,-8,-90
-614,36,-10,-4,-91
-628,32,-17,0,-86
-642,33,-17,2,-77
-648,40,-12,0,-68
-644,49,-5,-5,-63
-632,56,-1,-9,-66
-618,60,0,-11,-73
-609,60,-2,-10,-82
-612,58,-4,-6,-88
-628,58,-1,-2,-89
-653,60,6,0,-84
-681,63,17,-1,-76
-703,65,29,-4,-69
-713,64,39,-7,-65
-712,60,46,-9,-64
-703,56,51,-9,-65
-690,53,53,-7,-66
-679,53,54,-6,-66
-674,55,54,-5,-65
-673,56,55,-6,-66
-677,54,56,-7,-68
-681,51,57,-5,-70
-685,47,59,0,-70
-689,47,60,8,-66
-692,54,57,15,-59
-695,66,50,18,-49
-700,80,42,15,-40
-706,93,36,10,-36
-715,100,34,7,-36
-727,101,39,8,-41
-738,99,48,17,-46
-745,99,60,33,-47
-739,106,73,52,-42
-717,123,88,71,-30
-680,150,106,89,-12
-639,182,128,105,9
-610,212,152,118,28
-606,234,173,129,41
-630,244,189,136,47
-670,244,196,141,49
-707,237,199,147,51
-725,228,201,158,60
-721,222,207,174,78
-705,218,218,197,104
-698,213,235,220,133
-710,203,250,239,161
-739,185,259,249,184
-768,157,260,249,202
-779,121,250,242,218
-763,80,233,232,236
-730,37,212,226,258
-703,-8,190,224,285
-702,-52,169,226,312
-730,-97,151,228,336
-772,-142,136,225,357
-808,-187,123,217,372
-819,-230,113,202,383
-805,-271,104,182,390
-782,-309,94,157,393
-767,-345,83,130,390
-770,-382,68,102,381
-784,-418,51,74,367
-796,-454,31,47,347
-796,-487,10,23,326
-784,-516,-11,2,305
-774,-539,-31,-14,285
-776,-555,-49,-23,269
-792,-566,-66,-25,254
-812,-569,-82,-20,237
-819,-564,-96,-13,215
-802,-551,-108,-9,184
-766,-528,-120,-15,144
-729,-499,-130,-33,95
-710,-464,-137,-63,42
-718,-426,-142,-99,-14
-743,-384,-144,-135,-70
-769,-339,-144,-165,-124
-780,-288,-141,-186,-177
-770,-234,-139,-200,-227
-748,-183,-140,-211,-270
-728,-141,-143,-221,-303
-719,-114,-146,-232,-325
-724,-101,-147,-240,-335
-734,-97,-140,-242,-335
-740,-94,-126,-235,-327
-733,-85,-105,-222,-314
-714,-70,-82,-208,-300
-689,-52,-63,-198,-289
-669,-36,-53,-196,-283
-664,-27,-51,-201,-280
-679,-26,-55,-207,-279
-712,-28,-60,-209,-276
-752,-29,-63,-204,-270
-782,-28,-63,-194,-261
-790,-23,-61,-180,-249
-775,-19,-58,-168,-237
-745,-17,-54,-158,-226
-713,-18,-47,-150,-215
-693,-19,-36,-143,-202
-689,-19,-22,-134,-188
-694,-15,-8,-124,-173
-699,-8,4,-113,-157
-697,1,11,-101,-142
-693,10,15,-90,-128
-695,17,18,-78,-112
-712,21,21,-67,-93
-743,21,25,-56,-73
-779,20,31,-45,-54
-806,19,37,-35,-38
-812,20,44,-26,-28
-800,24,53,-18,-22
-780,30,63,-11,-18
-764,36,74,-7,-13
-762,42,84,-5,-6
-770,45,89,-5,3
-781,45,89,-3,9
-787,46,85,1,12
-786,48,79,8,9
-782,53,75,14,3
-781,58,76,20,-4
-786,62,82,22,-9
-795,60,89,23,-11
-803,55,94,23,-10
-804,48,92,25,-8
-798,43,84,28,-5
-790,43,73,32,-2
-783,49,63,37,1
-781,58,59,41,4
-785,66,63,45,8
-794,72,71,46,11
-804,72,78,45,14
-813,68,81,41,17
-819,62,80,35,20
-818,59,78,28,23
-811,58,77,22,23
-800,61,79,18,20
-791,65,83,16,14
-790,66,85,15,8
-799,64,84,15,7
-814,59,80,16,12
-828,52,76,21,20
-834,46,74,26,27
-829,43,75,30,29
-816,42,80,30,24
-802,43,87,27,18
-793,46,96,23,13
-789,50,106,21,13
-792,55,113,24,15
-798,57,115,31,16
-807,55,106,39,13
-817,48,87,44,6
-823,37,62,43,-1
-823,28,39,37,-3
-812,24,26,31,1
-793,29,26,28,9
-776,39,37,29,18
-772,51,50,34,25
-788,58,59,41,28
-820,57,60,47,30
-854,51,57,50,33
-874,44,52,50,35
-869,41,50,47,35
-842,42,51,40,31
-810,48,53,31,24
-790,54,54,21,19
-794,56,54,14,19
-818,55,55,12,27
-849,52,58,15,40
-870,51,63,25,53
-871,53,70,36,60
-854,60,77,46,59
-829,69,83,52,52
-808,75,86,53,45
-799,78,88,48,42
-804,76,88,42,45
-819,74,86,37,52
-837,74,81,37,59
-853,78,75,42,66
-864,86,71,53,71
-867,95,71,66,77
-860,101,79,78,85
-842,104,93,85,95
-820,104,109,88,105
-801,103,122,85,112
-795,104,126,80,114
-808,104,121,74,110
-836,103,110,67,100
-868,100,98,59,86
-890,92,90,51,72
-896,83,87,42,61
-884,74,87,35,54
-865,66,88,30,51
-850,61,88,29,49
-847,58,87,31,47
-856,57,89,34,42
-871,55,93,37,35
-883,53,101,39,29
-888,50,109,40,26
-885,47,113,40,29
-878,43,111,39,37
-869,41,105,39,46
-861,41,97,40,54
-858,44,92,43,57
-860,48,91,47,56
-870,50,92,51,52
-884,48,93,52,50
-898,40,91,49,50
-903,29,87,42,54
-898,18,85,37,59
-883,12,89,36,64
-869,13,100,41,69
-864,20,117,50,73
-872,28,134,57,77
-888,33,144,59,81
-900,31,143,55,85
-898,23,130,48,87
-882,10,110,42,88
-861,-1,90,40,88
-847,-7,77,43,88
-848,-8,74,48,89
-862,-4,81,50,89
-878,0,91,50,86
-882,1,96,46,80
-872,-2,92,41,71
-852,-6,78,39,63
-836,-9,57,38,62
-833,-9,38,41,71
-847,-6,26,45,89
-871,-2,25,51,111
-894,2,32,59,131
-907,6,39,69,142
-907,9,41,77,141
-901,9,34,80,131
-895,7,19,77,117
-896,-1,2,69,103
-905,-14,-10,58,94
-916,-30,-13,50,88
-923,-43,-6,46,86
-917,-52,9,46,84
-897,-53,26,48,84
-863,-50,41,48,84
-825,-45,52,46,89
-792,-43,57,44,96
-774,-44,58,44,106
-775,-49,58,46,116
-794,-55,58,48,122
-823,-60,58,49,124
-849,-64,60,48,123
-864,-64,63,48,123
-865,-63,63,50,126
-854,-62,60,56,130
-840,-61,52,66,133
-832,-62,40,75,133
-836,-65,27,80,128
-852,-66,19,80,122
-871,-64,18,78,119
-885,-58,25,77,122
-883,-51,36,79,131
-867,-47,42,82,140
-845,-50,40,81,141
-829,-62,29,73,132
-828,-79,14,60,115
-840,-96,2,45,96
-855,-107,0,34,85
-857,-108,7,34,85
-841,-101,20,44,94
-813,-91,33,60,107
-787,-81,40,76,119
-781,-75,42,85,125
-800,-72,40,85,127
-837,-72,40,77,129
-878,-73,42,68,132
-907,-76,45,63,138
-916,-82,46,66,145
-909,-89,42,74,152
-892,-95,33,84,157
-872,-99,21,89,161
-855,-100,11,87,162
-846,-98,4,77,162
-849,-93,2,63,160
-867,-89,4,51,158
-898,-88,6,45,157
-933,-90,7,45,158
-957,-96,8,50,161
-963,-105,9,57,164
-951,-113,9,61,165
-929,-121,10,62,161
-911,-127,10,59,155
-906,-132,11,53,149
-914,-137,11,47,145
-927,-141,12,42,145
-937,-144,13,40,146
-937,-145,13,43,147
-930,-142,13,49,146
-922,-136,15,56,144
-919,-129,19,61,144
-925,-123,25,63,150
-939,-117,34,64,162
-957,-112,43,66,175
-975,-106,50,70,186
-988,-101,54,75,188
-992,-99,52,78,181
-987,-103,44,75,165
-977,-116,32,64,146
-969,-135,17,48,130
-970,-153,3,33,121
-985,-166,-5,23,119
-1008,-168,-6,21,122
-1028,-162,2,25,125
-1031,-153,12,30,123
-1012,-146,21,31,116
-979,-144,24,28,105
-949,-147,21,22,94
-941,-150,15,20,88
-962,-148,12,24,89
-1001,-140,16,37,96
-1039,-128,26,52,104
-1057,-115,39,66,110
-1049,-105,50,73,113
-1025,-99,54,71,112
-1005,-96,49,63,110
-1001,-95,39,55,107
-1015,-94,30,50,103
-1034,-92,26,52,96
-1044,-88,30,57,87
-1037,-84,42,62,76
-1021,-78,55,64,65
-1006,-70,63,61,56
-1003,-60,64,56,51
-1011,-49,57,54,50
-1023,-38,47,56,53
-1028,-28,41,63,58
-1021,-19,44,73,64
-1006,-11,55,80,70
-989,-5,71,83,73
-980,0,85,79,73
-985,3,91,70,68
-1002,4,88,59,59
-1028,6,80,51,50
-1053,8,71,47,43
-1065,13,64,49,40
-1059,20,61,54,39
-1036,28,61,60,38
-1007,35,60,65,35
-986,41,60,68,30
-985,46,61,69,24
-1003,50,64,67,20
-1027,54,71,65,20
-1040,58,79,63,23
-1034,63,86,61,28
-1014,65,89,59,30
-997,65,86,57,29
-993,63,80,55,25
-1003,60,72,54,20
-1014,60,68,54,17
-1013,65,70,55,16
-995,74,78,55,17
-970,84,86,53,17
-954,91,91,49,14
-960,92,88,43,11
-986,87,79,40,7
-1017,81,67,41,5
-1036,77,57,45,5
-1038,78,54,52,5
-1032,85,58,56,3
-1035,96,65,57,-1
-1058,108,70,53,-7
-1095,117,69,48,-12
-1127,122,62,45,-17
-1133,122,48,45,-20
-1103,118,31,46,-24
-1048,112,13,46,-27
-991,106,-3,43,-28
-955,102,-14,40,-25
-953,103,-18,38,-16
-977,109,-14,41,-5
-1006,117,-4,47,5
-1022,125,9,54,8
-1017,128,17,57,2
-996,125,19,52,-11
-977,116,13,41,-27
-970,105,5,28,-40
-983,95,-1,19,-48
-1009,89,0,16,-53
-1040,87,6,18,-57
-1069,87,12,22,-62
-1091,89,15,23,-66
-1105,93,13,19,-67
-1111,98,10,12,-63
-1108,104,10,7,-53
-1093,111,18,5,-39
-1068,116,31,8,-25
-1039,118,45,14,-13
-1010,117,55,20,-1
-982,115,60,26,12
-945,115,63,33,31
-888,121,72,45,57
-803,137,93,66,93
-692,164,129,97,138
-568,198,177,135,191
-451,235,227,177,246
-359,269,271,213,296
-298,293,301,236,331
-266,306,314,243,344
-257,307,311,233,332
-264,299,294,212,297
-288,287,267,187,249
-331,273,233,162,197
-396,255,195,138,149
-483,234,155,113,104
-589,210,114,83,60
-713,185,75,50,13
-854,163,38,15,-36
-1008,146,8,-13,-83
-1169,136,-13,-30,-122
-1324,131,-22,-36,-145
-1453,127,-20,-32,-151
-1541,125,-9,-26,-143
-1580,123,5,-21,-129
-1577,123,18,-19,-113
-1550,126,30,-19,-101
-1518,131,40,-19,-91
-1493,135,51,-16,-81
-1477,136,63,-11,-67
-1459,134,73,-4,-51
-1425,131,80,4,-35
-1367,131,83,11,-23
-1292,135,82,17,-18
-1212,142,79,20,-20
-1147,147,77,19,-27
-1108,147,76,16,-33
-1097,141,74,12,-37
-1103,131,69,10,-39
-1112,122,63,11,-40
-1112,118,56,16,-41
-1100,119,53,22,-42
-1081,124,54,25,-44
-1068,127,59,23,-44
-1065,126,63,18,-41
-1072,119,65,10,-37
-1081,111,64,5,-33
-1080,105,60,4,-29
-1067,102,56,7,-28
-1049,103,54,12,-28
-1038,106,56,15,-29
-1045,106,59,15,-29
-1069,102,61,11,-27
-1099,97,63,7,-22
-1116,93,62,5,-16
-1109,93,61,9,-9
-1083,97,61,17,-4
-1055,103,63,27,0
-1047,108,68,34,3
-1063,109,76,35,5
-1094,105,84,31,7
-1117,97,90,24,12
-1115,89,93,19,19
-1088,85,93,18,28
-1049,86,89,22,35
-1021,91,84,28,40
-1017,99,80,34,38
-1033,105,79,37,31
-1054,107,80,35,20
-1065,103,83,29,8
-1059,96,84,21,0
-1043,89,85,15,-2
-1028,84,85,14,1
-1023,85,87,19,8
-1027,92,90,28,14
-1036,102,95,38,18
-1045,111,99,44,20
-1053,116,101,45,20
-1060,116,100,41,21
-1066,112,97,37,25
-1066,109,96,37,31
-1058,109,98,40,36
-1043,115,104,46,38
-1029,124,108,50,35
-1025,133,108,49,30
-1035,137,101,42,23
-1056,135,90,33,19
-1076,128,81,23,16
-1084,119,78,15,14
-1077,111,83,9,11
-1060,106,92,3,6
-1042,104,101,-3,1
-1033,106,105,-8,-2
-1032,109,104,-9,-2
-1039,114,102,-6,3
-1049,119,102,0,10
-1062,124,105,7,16
-1076,126,110,12,18
-1090,125,113,14,15
-1101,122,109,15,6
-1104,117,100,16,-4
-1100,114,88,18,-13
-1092,113,79,21,-19
-1088,113,75,23,-22
-1089,114,77,22,-22
-1093,114,82,18,-20
-1089,115,87,14,-17
-1070,117,90,12,-15
-1037,122,92,12,-15
-1003,128,93,13,-17
-986,134,96,13,-21
-996,136,101,11,-24
-1031,134,106,10,-26
-1074,129,110,11,-24
-1102,125,111,15,-21
-1102,124,107,22,-19
-1078,127,101,28,-22
-1047,131,94,29,-30
-1028,131,88,23,-41
-1031,127,82,13,-50
-1052,120,79,3,-54
-1071,113,77,-3,-51
-1073,113,77,-2,-43
-1052,118,78,2,-35
-1021,127,80,5,-31
-999,135,81,7,-30
-1002,137,81,8,-31
-1034,134,77,9,-29
-1077,127,72,14,-24
-1110,121,65,20,-17
-1115,117,59,27,-10
-1091,116,55,29,-6
-1050,116,54,27,-7
-1012,115,59,23,-10
-992,115,67,21,-14
-993,117,80,23,-19
-1010,120,93,29,-22
-1033,125,105,34,-24
-1055,130,112,35,-24
-1072,133,118,31,-21
-1081,135,123,22,-18
-1081,136,129,12,-15
-1071,137,136,5,-14
-1054,138,143,1,-13
-1037,139,146,1,-13
-1029,139,146,1,-10
-1036,136,144,2,-6
-1055,133,143,3,-2
-1078,131,145,6,0
-1092,131,150,13,0
-1092,131,153,22,0
-1080,133,155,31,2
-1064,135,155,39,10
-1055,139,158,41,22
-1056,145,165,39,35
-1067,152,177,33,43
-1079,159,190,27,44
-1087,165,197,23,41
-1084,167,197,24,39
-1069,169,192,28,42
-1046,171,185,34,49
-1022,173,181,38,56
-1005,175,177,38,56
-1001,172,173,31,46
-1012,163,166,19,28
-1033,150,157,7,10
-1054,135,151,-3,-2
-1063,123,150,-6,-4
-1057,117,157,-5,1
-1039,116,166,-1,7
-1022,115,172,-1,7
-1021,110,170,-6,0
-1041,100,160,-17,-10
-1078,87,145,-29,-18
-1115,75,133,-37,-20
-1134,67,127,-39,-15
-1125,67,126,-34,-8
-1093,74,126,-25,-3
-1055,83,123,-18,-4
-1029,91,115,-14,-9
-1025,96,104,-13,-14
-1041,96,94,-14,-15
-1065,95,88,-12,-10
-1085,95,86,-9,-3
-1094,98,86,-5,4
-1096,103,85,-4,6
-1098,108,81,-8,2
-1104,110,75,-16,-6
-1109,108,69,-24,-13
-1104,103,65,-28,-17
-1087,100,65,-25,-16
-1062,101,67,-16,-13
-1043,106,68,-5,-10
-1041,115,68,4,-10
-1058,122,67,9,-14
-1082,125,69,10,-18
-1097,123,75,11,-21
-1092,121,86,12,-19
-1068,120,100,17,-12
-1039,124,113,22,-2
-1017,131,122,27,6
-1010,139,124,28,9
-1015,144,121,26,7
-1022,146,114,22,2
-1026,146,106,18,-2
-1027,146,98,16,-4
-1033,146,90,14,-4
-1053,146,80,11,-6
-1084,144,69,6,-10
-1117,139,60,-1,-16
-1137,132,54,-6,-22
-1133,127,54,-9,-25
-1105,125,59,-6,-25
-1065,127,65,-1,-21
-1030,130,67,4,-18
-1016,132,65,7,-16
-1028,129,59,6,-14
-1058,124,52,1,-12
-1089,117,48,-5,-9
-1109,112,47,-12,-7
-1113,108,47,-19,-7
-1104,106,45,-24,-9
-1094,104,40,-25,-14
-1088,101,34,-21,-19
-1087,96,29,-14,-21
-1085,91,28,-7,-20
-1078,85,30,-3,-19
-1065,78,34,-5,-18
-1053,73,37,-10,-20
-1049,70,38,-14,-23
-1054,70,40,-14,-25
-1066,72,42,-10,-26
-1075,75,46,-4,-26
-1078,77,48,1,-27
-1075,77,47,1,-28
-1071,75,40,-2,-31
-1070,73,28,-7,-33
-1072,71,14,-13,-35
-1071,69,2,-17,-37
-1060,67,-6,-20,-40
-1040,65,-9,-24,-44
-1019,63,-9,-28,-48
-1009,65,-7,-32,-49
-1015,72,-3,-37,-49
-1033,81,0,-42,-45
-1053,88,6,-46,-42
-1060,91,11,-51,-39
-1050,87,16,-53,-38
-1029,79,18,-50,-37
-1007,73,17,-43,-35
-998,74,13,-30,-30
-1006,82,8,-17,-24
-1025,96,4,-9,-19
-1044,109,3,-8,-16
-1055,116,6,-16,-18
-1054,114,10,-29,-24
-1045,105,14,-44,-32
-1034,92,17,-56,-39
-1027,79,17,-63,-43
-1023,70,15,-66,-42
-1022,64,12,-67,-37
-1018,62,11,-68,-32
-1010,63,11,-68,-28
-1000,64,14,-65,-27
-990,66,19,-57,-29
-986,69,23,-43,-30
-992,72,27,-26,-29
-1011,76,28,-10,-24
-1038,82,26,1,-17
-1064,89,24,4,-10
-1077,97,22,2,-5
-1071,105,20,-4,-4
-1046,112,19,-7,-7
-1015,118,17,-7,-12
-995,123,16,-2,-18
-995,128,13,4,-22
-1014,133,12,10,-23
-1042,140,10,13,-21
-1066,148,10,12,-16
-1076,156,11,12,-7
-1074,164,14,13,5
-1067,172,19,17,17
-1061,175,25,22,26
-1057,175,30,27,29
-1051,169,31,28,24
-1039,159,26,23,13
-1023,149,16,13,-2
-1010,140,4,3,-17
-1007,134,-5,-4,-27
-1016,132,-7,-4,-33
-1031,131,-4,2,-36
-1040,130,1,12,-37
-1035,127,3,21,-39
-1013,124,-1,26,-42
-982,121,-6,26,-45
-954,121,-9,23,-47
-941,123,-7,17,-48
-948,127,2,12,-47
-969,131,11,7,-46
-990,134,17,1,-45
-1000,134,14,-5,-45
-994,129,3,-14,-46
-976,119,-11,-23,-47
-960,107,-23,-32,-48
-955,93,-27,-38,-46
-965,84,-24,-40,-40
-984,81,-14,-38,-34
-999,86,-2,-32,-27
-1002,95,7,-25,-25
-992,106,12,-19,-28
-977,113,11,-13,-35
-966,115,7,-10,-45
-966,110,2,-7,-54
-977,103,-1,-7,-61
-990,96,0,-9,-63
-998,91,4,-12,-62
-994,91,9,-18,-60
-982,95,14,-24,-57
-966,101,17,-28,-54
-954,107,17,-28,-54
-949,110,16,-24,-54
-952,111,13,-16,-56
-953,110,8,-7,-58
-947,107,2,1,-59
-928,105,-4,7,-58
-900,105,-8,9,-54
-876,108,-7,10,-48
-869,113,-3,9,-41
-885,120,2,6,-35
-918,127,3,3,-31
-952,133,0,0,-31
-969,135,-8,-3,-33
-961,134,-16,-6,-35
-935,129,-20,-8,-35
-907,122,-18,-10,-33
-891,116,-13,-13,-30
-892,114,-8,-14,-27
-901,117,-6,-11,-24
-906,126,-5,-3,-21
-897,140,-2,13,-16
-879,156,8,36,-7
-862,172,26,64,6
-854,186,48,91,22
-860,197,70,115,39
-876,207,88,133,57
-893,216,102,145,76
-906,224,116,156,98
-914,230,134,168,122
-920,233,156,181,147
-925,230,181,196,171
-929,221,201,207,190
-929,205,212,214,204
-927,182,210,215,214
-924,153,199,212,224
-923,119,182,208,237
-928,80,168,204,257
-939,37,160,202,280
-952,-7,157,199,304
-963,-51,157,191,323
-970,-95,156,180,333
-974,-138,151,165,334
-978,-181,141,147,330
-985,-225,128,130,324
-996,-271,114,111,320
-1007,-318,100,91,318
-1013,-363,88,67,318
-1010,-404,76,39,312
-999,-440,61,10,299
-986,-471,42,-18,277
-979,-497,19,-39,249
-985,-517,-7,-50,222
-1005,-531,-32,-50,203
-1029,-537,-50,-42,194
-1049,-533,-60,-30,191
-1053,-521,-62,-21,187
-1041,-501,-61,-22,173
-1020,-477,-62,-33,144
-1001,-449,-69,-55,103
-992,-416,-80,-83,54
-997,-379,-91,-111,6
-1011,-335,-99,-136,-39
-1023,-288,-101,-158,-81
-1024,-239,-100,-177,-123
-1006,-192,-101,-194,-167
-973,-150,-106,-208,-211
-932,-114,-115,-219,-251
-897,-84,-125,-224,-281
-877,-59,-132,-221,-298
-878,-39,-135,-212,-304
-897,-24,-133,-200,-300
-927,-11,-127,-190,-292
-956,0,-119,-185,-281
-976,12,-109,-187,-271
-980,27,-98,-193,-264
-968,43,-89,-200,-260
-947,58,-83,-204,-259
-924,69,-84,-201,-258
-911,76,-94,-191,-255
-912,77,-111,-177,-249
-926,77,-129,-161,-237
-946,76,-142,-147,-222
-963,75,-145,-136,-206
-968,76,-138,-128,-190
-962,79,-124,-121,-178
-949,83,-109,-115,-169
-936,87,-99,-109,-164
-928,89,-97,-105,-161
-927,89,-101,-101,-158
-932,85,-105,-96,-150
-938,81,-105,-88,-137
-945,78,-97,-74,-118
-951,79,-82,-57,-94
-955,86,-64,-38,-71
-956,97,-49,-23,-52
-952,109,-39,-13,-39
-941,118,-32,-8,-32
-926,126,-26,-3,-28
-911,131,-16,4,-25
-900,137,-3,15,-21
-895,143,7,29,-16
-897,147,10,39,-12
-904,147,4,42,-11
-914,139,-10,37,-14
-924,124,-25,28,-21
-931,105,-35,18,-31
-934,87,-35,12,-40
-932,75,-27,9,-48
-928,69,-17,9,-54
-925,69,-10,8,-59
-926,69,-13,6,-64
-931,65,-27,2,-71
-937,57,-47,-1,-79
-936,47,-68,-2,-85
-926,38,-83,0,-87
-905,36,-88,1,-86
-880,40,-82,0,-82
-858,47,-69,-4,-79
-847,54,-53,-11,-79
-851,58,-41,-16,-83
-869,56,-35,-17,-88
-894,52,-37,-13,-90
-919,47,-43,-7,-87
-935,45,-51,-3,-81
-939,44,-57,-4,-76
-931,42,-59,-11,-75
-917,40,-57,-21,-77
-902,37,-53,-29,-80
-891,38,-48,-31,-79
-884,43,-42,-25,-73
-880,52,-33,-14,-63
-873,62,-22,-1,-53
-864,69,-10,10,-48
-854,71,0,15,-50
-849,66,5,15,-55
-853,59,3,13,-61
-864,53,-4,10,-63
-876,49,-11,7,-60
-884,48,-18,7,-55
-881,49,-22,6,-49
-871,49,-26,5,-46
-861,49,-30,2,-46
-858,49,-35,-2,-49
-867,49,-39,-5,-52
-884,48,-40,-7,-52
-899,48,-36,-8,-47
-903,48,-26,-5,-35
-888,49,-11,0,-17
-855,53,6,7,5
-807,59,24,18,28
-751,68,42,30,50
-692,77,61,43,70
-631,87,83,57,90
-566,99,109,75,114
-493,115,142,98,147
-409,136,181,126,190
-316,163,225,157,241
-217,195,269,184,291
-119,225,306,202,329
-34,248,328,203,349
25,258,329,188,345
46,254,311,162,322
23,238,276,134,285
-44,215,232,112,242
-144,190,187,98,197
-262,168,144,89,152
-388,148,104,79,106
-518,130,66,60,57
-651,110,30,33,8
-789,87,-3,1,-39
-930,63,-30,-27,-78
-1062,40,-47,-47,-105
-1170,23,-54,-55,-119
-1243,14,-52,-55,-118
-1278,13,-44,-49,-106
-1282,17,-35,-42,-86
-1266,22,-25,-34,-63
-1242,27,-16,-24,-40
-1215,30,-7,-10,-18
-1185,32,1,6,1
-1148,34,8,21,16
-1099,39,12,32,28
-1038,46,12,36,37
-968,53,7,33,41
-901,56,1,25,41
-850,54,-5,17,38
-823,45,-8,10,35
-817,32,-6,9,35
-822,21,0,12,40
-821,15,10,19,49
-804,20,22,28,59
-775,33,33,36,66
-749,50,43,39,65
-743,63,49,36,57
-766,67,52,27,44
-806,63,54,17,32
-838,53,57,10,27
-842,44,62,8,30
-813,38,69,14,40
-766,36,75,23,52
-728,34,74,32,59
-721,30,64,37,61
-746,23,46,36,57
-785,14,26,32,50
-817,4,10,26,46
-827,-3,4,22,45
-819,-7,7,21,46
-805,-9,14,20,50
-800,-9,18,19,54
-804,-7,15,18,59
-808,-2,5,18,66
-803,7,-5,21,75
-785,16,-7,28,85
-764,26,4,38,95
-752,34,25,47,102
-758,39,49,52,107
-776,42,69,52,109
-791,43,80,49,112
-790,43,84,44,115
-771,42,84,41,120
-742,40,84,40,123
-721,37,84,41,123
-721,32,81,42,119
-741,27,73,41,110
-770,19,58,38,100
-792,8,37,34,90
-800,-5,16,30,85
-796,-18,1,28,84
-792,-28,-7,29,86
-794,-35,-7,32,90
-798,-35,-3,36,92
-796,-33,1,38,90
-778,-31,1,39,86
-746,-31,-4,36,79
-713,-36,-14,31,74
-696,-45,-26,26,73
-704,-54,-37,23,76
-730,-61,-45,23,83
-757,-64,-48,26,91
-770,-63,-47,30,97
-762,-58,-41,34,100
-744,-53,-33,35,102
-733,-51,-24,36,103
-738,-53,-17,35,106
-759,-59,-13,36,112
-782,-69,-12,39,119
-795,-78,-14,42,125
-793,-83,-16,44,129
-782,-83,-14,44,132
-772,-77,-9,42,135
-767,-69,1,40,139
-765,-62,10,38,143
-762,-57,16,38,146
-755,-56,15,39,146
-748,-57,7,39,144
-746,-59,-3,38,143
-751,-61,-12,39,146
-760,-62,-16,41,154
-763,-63,-17,45,163
-756,-64,-17,52,170
-742,-68,-21,60,170
-730,-73,-30,65,165
-730,-78,-40,67,157
-742,-83,-48,67,151
-760,-84,-50,67,152
-770,-83,-46,66,157
-765,-80,-40,67,165
-746,-77,-38,67,171
-720,-75,-40,64,171
-697,-76,-46,58,165
-685,-80,-52,47,156
-685,-86,-55,35,147
-697,-94,-55,23,140
-716,-104,-56,16,138
-739,-115,-59,14,140
-760,-125,-63,15,145
-771,-132,-62,20,151
-769,-135,-54,23,155
-753,-135,-38,25,157
-730,-132,-20,26,155
-709,-130,-7,27,150
-699,-132,-3,30,145
-701,-139,-6,37,143
-712,-147,-9,46,147
-725,-153,-8,55,156
-734,-155,-1,61,169
-736,-151,8,60,179
-733,-146,9,54,184
-724,-141,1,43,180
-710,-141,-17,34,170
-691,-144,-35,27,157
-670,-147,-46,27,146
-652,-146,-46,31,141
-643,-139,-37,39,141
-644,-127,-27,48,145
-653,-113,-22,56,148
-660,-103,-26,63,149
-659,-98,-35,67,147
-647,-99,-44,69,142
-630,-103,-49,68,135
-616,-108,-49,63,126
-613,-111,-47,57,118
-620,-111,-47,49,109
-631,-108,-51,43,104
-637,-102,-56,39,101
-632,-96,-62,39,102
-619,-91,-66,40,105
-606,-88,-66,40,108
-605,-86,-64,40,110
-621,-83,-59,41,110
-648,-76,-53,44,109
-674,-65,-45,51,107
-685,-51,-38,59,103
-678,-35,-33,66,98
-658,-23,-31,67,92
-641,-15,-33,61,88
-638,-12,-35,51,89
-652,-9,-34,42,95
-673,-4,-29,38,101
-687,4,-21,40,104
-682,11,-16,43,98
-660,12,-15,44,82
-634,5,-18,40,62
-621,-7,-21,33,43
-630,-18,-19,29,32
-657,-21,-6,31,31
-689,-13,15,39,35
-711,2,36,49,40
-713,15,51,57,41
-699,19,55,57,36
-681,15,51,52,28
-668,6,45,45,21
-665,1,44,40,18
-669,5,48,40,17
-674,18,54,42,16
-674,33,56,43,14
-670,44,51,41,10
-667,48,41,34,5
-667,47,30,27,4
-671,47,24,23,8
-678,51,27,25,19
-684,63,37,36,33
-686,79,49,50,46
-681,94,58,65,52
-668,104,60,73,49
-650,108,56,73,37
-633,108,47,65,21
-626,106,35,53,5
-633,103,22,43,-6
-655,99,10,36,-12
-680,93,0,34,-14
-694,83,-9,34,-15
-687,71,-15,33,-17
-659,59,-19,30,-20
-623,51,-22,25,-25
-598,50,-25,22,-29
-594,54,-28,20,-33
-612,60,-32,18,-36
-640,65,-38,16,-39
-664,67,-43,10,-43
-677,66,-46,2,-45
-676,64,-46,-8,-46
-669,64,-44,-18,-45
-658,65,-40,-25,-42
-646,67,-37,-29,-39
-634,67,-35,-30,-38
-622,65,-34,-28,-39
-614,61,-33,-25,-41
-613,56,-31,-21,-41
-619,53,-27,-17,-41
-627,51,-23,-17,-38
-630,51,-20,-22,-36
-626,50,-19,-31,-35
-614,50,-19,-42,-36
-601,50,-20,-51,-39
-593,50,-23,-55,-43
-593,51,-26,-53,-48
-600,51,-32,-47,-52
-611,50,-39,-40,-54
-625,46,-46,-34,-55
-641,41,-50,-34,-55
-658,37,-50,-36,-54
-674,34,-46,-41,-53
-686,33,-40,-45,-54
-689,34,-36,-47,-54
-682,37,-35,-48,-54
-667,41,-38,-47,-51
-651,47,-42,-47,-46
-639,55,-44,-47,-40
-634,63,-43,-48,-35
-633,69,-40,-47,-34
